text,expected,predicted,confidence,top1_similarity,auto_handle,reasons,reply
@AppleSupport 11.0.2 and yes,general_support,general_support,0.5595195000790516,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"@AppleSupport 6s plus, iOS 11.0.3",general_support,general_support,0.41493507853690553,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport 11.0.2,general_support,general_support,0.5657618070020741,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport This worked! Thank you so much!!,general_support,general_support,0.46827933464630056,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
Is App Store down? @AppleSupport,app_software_issue,app_software_issue,0.2871031504567613,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
Dear @AppleSupport please fix the “I️” issue!!!,app_software_issue,app_software_issue,0.3538786301904235,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport Mainly YouTube,general_support,general_support,0.5404957861083751,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport https://t.co/PGZxztYxpt,app_software_issue,general_support,0.4710398944301391,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport Do you know why it’s happening ?,app_software_issue,app_software_issue,0.26927371688628465,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport its iOS 11.0.3,app_software_issue,general_support,0.3596288421131269,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport thank you,app_software_issue,general_support,0.4399869193862344,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport No,general_support,app_software_issue,0.24806335189682724,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport iOS 11.1.2 😐,general_support,general_support,0.44763122565168123,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"@AppleSupport Yes, yes I am.",general_support,general_support,0.4008241035965347,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport I need help,general_support,general_support,0.34682275342446023,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@482029 @AppleSupport @115858 @115858 WHAT IS HAPPENING,general_support,general_support,0.32338562435703744,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport Nope,general_support,general_support,0.5404957861083751,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@450257 @115858 So annoying! All my iCloud has gone!,subscription_service,device_hardware,0.26346421665145764,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport iphone 8 and 11.1.1,device_hardware,device_hardware,0.4144565232682283,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport A month or 2,general_support,general_support,0.25589959808972224,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport I️ did that before I️ even tweeted this 🤦🏻‍♂️,general_support,general_support,0.4011231667396514,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport My iPhone 6s,device_hardware,device_hardware,0.44626385443529093,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport Thank you !,general_support,general_support,0.4399869193862344,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
I’m mad at y’all @115858 deliberately fuckin up my iPhone 7,device_hardware,device_hardware,0.4040197165399394,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport iOS 11.0.2 is installed and iPhone 6 Plus,device_hardware,device_hardware,0.3572976699192296,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 yo FaceTime is messed up,app_software_issue,app_software_issue,0.3097276251207877,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport @115948 why can’t I add songs to “up next”,app_software_issue,app_software_issue,0.2800481311914588,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"@AppleSupport Yes, for my Apple ID but no spot for a code.",account_login_access,account_login_access,0.6509490885892256,1.0,True,,"Thanks for reaching out. Based on similar support cases, the relevant next step was: @300638 When you enter the password, put the code immediately after it in the same field. There won't be a separate field for the code."
@AppleSupport The version I have is 11.0.3,general_support,general_support,0.39786194187205604,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport iPhone 7,device_hardware,device_hardware,0.38787498647251367,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"Why does my phone keep randomly vibrating, @AppleSupport?",app_software_issue,app_software_issue,0.3314664725132093,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 fix yourself my camera doesn’t work on any app,device_hardware,device_hardware,0.40310432966456355,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
This. Why? @AppleSupport https://t.co/MhF28vh51S,general_support,general_support,0.48345356224841335,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport FIX THIS PLEASE https://t.co/Za9CaOhRTP,general_support,general_support,0.4795542610159137,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 you better fix this .,general_support,general_support,0.40453172550306055,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport helpppppppp https://t.co/ZCYexRhQPm,general_support,general_support,0.4710398944301391,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 fix this I️,app_software_issue,app_software_issue,0.2964990545875085,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
Idk what’s taking @115858 so long to fix this “I” situation,app_software_issue,app_software_issue,0.30042355952876937,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 fix this please,general_support,general_support,0.2893067885064286,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport my beats are having weird audio issues,device_hardware,device_hardware,0.26257202009988423,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@115858 @38379 @210685 nice job with the update... https://t.co/6PvzyPoaOQ,app_software_issue,app_software_issue,0.30968413085992835,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
Can I connect the #APPLETV to both my Mac and my Böse Mini bluetooth speaker? @AppleSupport,device_hardware,app_software_issue,0.25241541122374406,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport how do i can my phone to stop doing this ? https://t.co/3O7JDIioGV,general_support,app_software_issue,0.24370984923567635,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
@AppleSupport I’ve done that just anticipating the bug fix update...thanks though,app_software_issue,app_software_issue,0.4024338229672945,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"@AppleSupport Hi, ever since I download the new iOS my home button isn't working!",device_hardware,app_software_issue,0.30494470682785735,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
"hey @115858, plz fix the new update so me can talk like an intellect again",app_software_issue,app_software_issue,0.38520781396402415,1.0,False,low_intent_confidence,Thanks for reaching out. I’m not confident I understood the issue. I’m routing this to a support specialist rather than guessing.
