example_id,customer_text,expected_intent,notes
1,@AppleSupport 11.0.2 and yes,general_support,
2,"@AppleSupport 6s plus, iOS 11.0.3",general_support,
3,@AppleSupport 11.0.2,general_support,
4,@AppleSupport This worked! Thank you so much!!,general_support,
5,Is App Store down? @AppleSupport,app_software_issue,
6,Dear @AppleSupport please fix the “I️” issue!!!,app_software_issue,
7,@AppleSupport Mainly YouTube,general_support,
8,@AppleSupport https://t.co/PGZxztYxpt,app_software_issue,
9,@AppleSupport Do you know why it’s happening ?,app_software_issue,Linked context indicates an iOS/software feature issue.
10,@AppleSupport its iOS 11.0.3,app_software_issue,"Linked context indicates an iOS/software feature issue.
"
11,@AppleSupport thank you,app_software_issue,"Linked context indicates an iOS/software feature issue.
"
12,@AppleSupport No,general_support,The message is too short and does not provide enough context to identify a specific intent.
13,@AppleSupport iOS 11.1.2 😐,general_support,The customer mentions an iOS version but does not describe a specific problem.
14,"@AppleSupport Yes, yes I am.",general_support,The message is too short and does not provide enough context to identify a specific intent.
15,@AppleSupport I need help,general_support,The message is too short and does not provide enough context to identify a specific intent.
16,@482029 @AppleSupport @115858 @115858 WHAT IS HAPPENING,general_support,The customer expresses confusion but does not describe a specific issue.
17,@AppleSupport Nope,general_support,The customer expresses confusion but does not describe a specific issue.
18,@450257 @115858 So annoying! All my iCloud has gone!,subscription_service,"Customer reports that their iCloud data has disappeared, indicating an iCloud service issue."
19,@AppleSupport iphone 8 and 11.1.1,device_hardware,Customer mentions an iPhone model and iOS version but does not describe a specific issue.
20,@AppleSupport A month or 2,general_support,The message is too vague and does not provide enough context to identify a specific intent.
21,@AppleSupport I️ did that before I️ even tweeted this 🤦🏻‍♂️,general_support,The customer refers to a previous troubleshooting step but does not describe the underlying issue.
22,@AppleSupport My iPhone 6s,device_hardware,Customer mentions an iPhone 6s but does not describe the specific problem.
23,@AppleSupport Thank you !,general_support,Customer only expresses thanks and does not describe an issue.
24,I’m mad at y’all @115858 deliberately fuckin up my iPhone 7,device_hardware,Customer only expresses thanks and does not describe an issue.
25,@AppleSupport iOS 11.0.2 is installed and iPhone 6 Plus,device_hardware,Customer only expresses thanks and does not describe an issue.
26,@115858 yo FaceTime is messed up,app_software_issue,
27,@AppleSupport @115948 why can’t I add songs to “up next”,app_software_issue,
28,"@AppleSupport Yes, for my Apple ID but no spot for a code.",account_login_access,
29,@AppleSupport The version I have is 11.0.3,general_support,
30,@AppleSupport iPhone 7,device_hardware,
31,"Why does my phone keep randomly vibrating, @AppleSupport?",app_software_issue,
32,@115858 fix yourself my camera doesn’t work on any app,device_hardware,
33,This. Why? @AppleSupport https://t.co/MhF28vh51S,general_support,
34,@AppleSupport FIX THIS PLEASE https://t.co/Za9CaOhRTP,general_support,
35,@115858 you better fix this .,general_support,
36,@AppleSupport helpppppppp https://t.co/ZCYexRhQPm,general_support,
37,@115858 fix this I️,app_software_issue,
38,Idk what’s taking @115858 so long to fix this “I” situation,app_software_issue,
39,@115858 fix this please,general_support,
40,@AppleSupport my beats are having weird audio issues,device_hardware,
41,@115858 @38379 @210685 nice job with the update... https://t.co/6PvzyPoaOQ,app_software_issue,
42,Can I connect the #APPLETV to both my Mac and my Böse Mini bluetooth speaker? @AppleSupport,device_hardware,
43,@AppleSupport how do i can my phone to stop doing this ? https://t.co/3O7JDIioGV,general_support,
44,@AppleSupport I’ve done that just anticipating the bug fix update...thanks though,app_software_issue,
45,"@AppleSupport Hi, ever since I download the new iOS my home button isn't working!",device_hardware,
46,"hey @115858, plz fix the new update so me can talk like an intellect again",app_software_issue,
47,my phone keep changing “it” into “i.t” what’s good with that @AppleSupport,app_software_issue,
48,@115858 can you please fix iOS 11?! It's been a nightmare since the release.,app_software_issue,
49,@AppleSupport and my apps and home screen are constantly freezing,app_software_issue,
50,@AppleSupport Happening on both. How do you sign out on iPhone?,account_login_access,
51,I HATE THIS AUTO BRIGHTNESS BULLSHIT ON IOS 11 ... HOW DO I TAKE IT OFF ?!?!?!?! @115858,app_software_issue,
52,@AppleSupport It's this mail app... with 993 messages https://t.co/cASYqrliH4,app_software_issue,
53,Apple turkey organization can not solve a problem in 3 months @115858,general_support,
54,@AppleSupport Now my contacts have issues thanks for nothing Apple,app_software_issue,
55,@AppleSupport I can no longer turn off notifications for all apps at one time?,app_software_issue,
56,@AppleSupport This is what comes up when I️ type “I️” https://t.co/Ou79whRZsT,app_software_issue,
57,"@AppleSupport No, I’ve tried it both ways. Even when iTunes is open, they don’t work.",device_hardware,
58,Updated my phone and the capital i still doesn’t work @AppleSupport,app_software_issue,
59,@245209 @AppleSupport Glad this was a help. Hopefully there is a real fix soon.,general_support,
